"Id","SalePrice"
1461,115094.798112604
1462,156098.318785374
1463,176928.844234225
1464,194902.240909643
1465,204436.715315509
1466,172489.662038129
1467,182082.303971594
1468,163931.538464541
1469,202298.69398192
1470,114321.892311605
1471,198255.875411896
1472,104788.800537926
1473,100259.558917601
1474,151414.776293557
1475,116843.67985671
1476,334764.944212332
1477,261136.305851113
1478,287144.242833457
1479,286395.276574279
1480,415342.909124872
1481,328495.459901041
1482,229673.421681101
1483,180810.600204159
1484,170237.818773906
1485,197218.404835553
1486,198406.780564696
1487,305499.986849822
1488,238615.865462417
1489,189401.152164397
1490,208124.089501074
1491,197029.847859087
1492,95973.9804561239
1493,200157.536164617
1494,290908.145523955
1495,290572.215400008
1496,213094.835658
1497,181786.604717196
1498,162807.528184038
1499,163796.337903459
1500,154252.457226494
1501,167449.89472325
1502,150670.832677618
1503,264692.957131979
1504,237281.836376593
1505,217369.360443591
1506,193542.10941805
1507,233160.230191977
1508,199239.509424653
1509,166018.425087165
1510,141699.967692077
1511,146104.961835098
1512,169271.596588496
1513,157062.363621067
1514,158486.780754551
1515,200103.950795171
1516,159293.848922996
1517,174703.801515747
1518,134120.740876609
1519,212678.325226664
1520,125843.513360271
1521,129936.265520437
1522,178520.890158446
1523,109056.175583026
1524,125666.272610664
1525,117375.501585173
1526,120954.9657874
1527,109240.919031789
1528,147940.405458854
1529,139486.197182654
1530,188379.53571955
1531,116593.534479655
1532,99461.9331935819
1533,146265.361534351
1534,132608.905526798
1535,150781.215881877
1536,112566.245243314
1537,66886.6772766054
1538,161303.464481538
1539,202277.393949429
1540,107625.383812943
1541,145268.248982179
1542,134053.349826823
1543,178744.587481609
1544,83765.6956915878
1545,121508.446312988
1546,135109.612485611
1547,122455.446588894
1548,134584.239275662
1549,118936.816775978
1550,128508.398507978
1551,114902.68395298
1552,124916.799943987
1553,147410.408565046
1554,121302.803184922
1555,155158.122305709
1556,91609.6865391074
1557,110664.982658064
1558,102697.16156782
1559,88771.0014195854
1560,136771.198665878
1561,125330.756006104
1562,128638.780384
1563,114889.759238508
1564,160502.187905784
1565,148323.519020947
1566,243615.536893682
1567,79282.5725180686
1568,216393.513691168
1569,121104.217317133
1570,145202.358038548
1571,129055.793804272
1572,140854.031905774
1573,237395.461910781
1574,124243.051163485
1575,219959.39666683
1576,242385.618613464
1577,185235.167633528
1578,150331.123267631
1579,143824.430479806
1580,197637.435254605
1581,151853.283156485
1582,124331.575917467
1583,286332.380216261
1584,217659.465558654
1585,140655.543231129
1586,68129.5999825826
1587,108540.350104684
1588,142139.301814229
1589,103949.397706244
1590,139413.54283388
1591,90279.7765746826
1592,121659.843641524
1593,126663.550846744
1594,125602.069909319
1595,109521.94600583
1596,218553.202760964
1597,183100.360742821
1598,230700.568029642
1599,181042.046172148
1600,174459.903830199
1601,59545.4856867819
1602,115567.823234053
1603,91804.8259804366
1604,244391.717429682
1605,253030.569210682
1606,173773.089222107
1607,180809.483886553
1608,221640.494470977
1609,187467.151726032
1610,151866.033304656
1611,150039.653450688
1612,165579.57150542
1613,162824.532587945
1614,121540.700532216
1615,94635.8975189825
1616,82714.7560921262
1617,96863.3525253768
1618,121522.26269154
1619,138895.387211778
1620,155340.356268612
1621,143740.576192444
1622,139484.166075803
1623,261112.552927318
1624,211285.339815703
1625,119494.485756185
1626,173023.585498782
1627,186149.928791837
1628,279705.159155972
1629,192148.471981534
1630,320152.187147045
1631,228902.239722243
1632,249749.037130525
1633,183678.750415489
1634,187969.863458336
1635,177538.758810033
1636,155513.963417397
1637,186092.949262688
