time,dangjin_floating,dangjin_warehouse,dangjin,ulsan
2018-03-01 1:00:00,0.0,0.0,0,0
2018-03-01 2:00:00,0.0,0.0,0,0
2018-03-01 3:00:00,0.0,0.0,0,0
2018-03-01 4:00:00,0.0,0.0,0,0
2018-03-01 5:00:00,0.0,0.0,0,0
2018-03-01 6:00:00,0.0,0.0,0,0
2018-03-01 7:00:00,0.0,0.0,0,0
2018-03-01 8:00:00,0.0,0.0,0,4
2018-03-01 9:00:00,36.0,33.0,37,35
2018-03-01 10:00:00,313.0,209.0,318,71
2018-03-01 11:00:00,532.0,296.0,490,82
2018-03-01 12:00:00,607.0,315.0,550,334
2018-03-01 13:00:00,614.0,474.0,727,372
2018-03-01 14:00:00,608.0,544.0,733,346
2018-03-01 15:00:00,641.0,496.0,672,318
2018-03-01 16:00:00,536.0,391.0,546,258
2018-03-01 17:00:00,348.0,271.0,364,160
2018-03-01 18:00:00,134.0,80.0,110,30
2018-03-01 19:00:00,11.0,2.0,0,0
2018-03-01 20:00:00,0.0,0.0,0,0
2018-03-01 21:00:00,0.0,0.0,0,0
2018-03-01 22:00:00,0.0,0.0,0,0
2018-03-01 23:00:00,0.0,0.0,0,0
2018-03-01 24:00:00,0.0,0.0,0,0
2018-03-02 1:00:00,0.0,0.0,0,0
2018-03-02 2:00:00,0.0,0.0,0,0
2018-03-02 3:00:00,0.0,0.0,0,0
2018-03-02 4:00:00,0.0,0.0,0,0
2018-03-02 5:00:00,0.0,0.0,0,0
2018-03-02 6:00:00,0.0,0.0,0,0
2018-03-02 7:00:00,0.0,0.0,0,0
2018-03-02 8:00:00,11.0,9.0,4,18
2018-03-02 9:00:00,134.0,93.0,154,102
2018-03-02 10:00:00,363.0,247.0,367,218
2018-03-02 11:00:00,563.0,388.0,539,264
2018-03-02 12:00:00,691.0,479.0,644,278
2018-03-02 13:00:00,592.0,524.0,709,362
2018-03-02 14:00:00,619.0,539.0,739,352
2018-03-02 15:00:00,708.0,504.0,693,319
2018-03-02 16:00:00,537.0,426.0,583,263
2018-03-02 17:00:00,351.0,288.0,409,163
2018-03-02 18:00:00,138.0,81.0,125,30
2018-03-02 19:00:00,9.0,1.0,0,0
2018-03-02 20:00:00,0.0,0.0,0,0
2018-03-02 21:00:00,0.0,0.0,0,0
2018-03-02 22:00:00,0.0,0.0,0,0
2018-03-02 23:00:00,0.0,0.0,0,0
2018-03-02 24:00:00,0.0,0.0,0,0
2018-03-03 1:00:00,0.0,0.0,0,0
2018-03-03 2:00:00,0.0,0.0,0,0
2018-03-03 3:00:00,0.0,0.0,0,0
2018-03-03 4:00:00,0.0,0.0,0,0
2018-03-03 5:00:00,0.0,0.0,0,0
2018-03-03 6:00:00,0.0,0.0,0,0
2018-03-03 7:00:00,0.0,0.0,0,0
2018-03-03 8:00:00,10.0,9.0,5,14
2018-03-03 9:00:00,118.0,83.0,133,75
2018-03-03 10:00:00,334.0,228.0,335,103
2018-03-03 11:00:00,524.0,361.0,501,167
2018-03-03 12:00:00,650.0,440.0,602,143
2018-03-03 13:00:00,717.0,474.0,646,168
2018-03-03 14:00:00,705.0,470.0,642,256
