지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),운형(운형약어),시정(10m),지면온도(°C)
129,서산,2016-01-01 01:00,-3.6,,.2,0,97,4.5,-4,1030,1033.8,,,,,,300,-1.6
129,서산,2016-01-01 02:00,-3.9,,0,0,97,4.4,-4.3,1030.1,1033.9,,,,,,300,-2.1
129,서산,2016-01-01 03:00,-3.5,,.5,50,97,4.6,-3.9,1030,1033.8,,,,0,,220,-2.4
129,서산,2016-01-01 04:00,-3.4,,.3,0,97,4.6,-3.8,1029.5,1033.3,,,,3,Sc,300,-2
129,서산,2016-01-01 05:00,-2.8,,.1,0,97,4.8,-3.2,1029.4,1033.2,,,,5,Sc,300,-1.3
129,서산,2016-01-01 06:00,-1.4,,1,110,97,5.4,-1.8,1029.8,1033.5,,,,7,Sc,300,-.7
129,서산,2016-01-01 07:00,-1.2,,.5,50,97,5.4,-1.6,1029.7,1033.4,,,,7,Sc,300,-.5
129,서산,2016-01-01 08:00,-.8,,1.1,90,97,5.6,-1.2,1029.7,1033.4,0,0,,8,Sc,500,-.4
129,서산,2016-01-01 09:00,.1,,1,90,97,6,-.3,1030.1,1033.8,0,.07,,8,Sc,700,-.1
129,서산,2016-01-01 10:00,1.5,,.3,0,97,6.6,1,1030.4,1034.1,.2,.32,,7,ScAc,800,.1
129,서산,2016-01-01 11:00,4,,.9,200,85,6.9,1.7,1029.9,1033.6,.8,.78,,5,Sc,1000,2
129,서산,2016-01-01 12:00,4.7,,3,180,76,6.5,.8,1028.9,1032.5,.7,.82,,7,Sc,1200,5.1
129,서산,2016-01-01 13:00,5.7,,2.4,200,74,6.8,1.4,1027.9,1031.5,.2,.79,,8,Sc,1400,7.2
129,서산,2016-01-01 14:00,5.9,,3.2,180,74,6.9,1.6,1027.3,1030.9,.2,.67,,8,Sc,2000,6.4
129,서산,2016-01-01 15:00,5.9,,2.9,230,71,6.6,1,1027,1030.6,.2,.53,,9,Sc,2000,6.2
129,서산,2016-01-01 16:00,5.8,,2.3,230,71,6.5,.9,1026.5,1030.1,.1,.29,,8,Sc,2000,5.2
129,서산,2016-01-01 17:00,5.4,,2.9,180,77,6.9,1.6,1026.4,1030,0,.1,,8,Sc,2000,3.9
129,서산,2016-01-01 18:00,4.9,,1.8,180,85,7.3,2.5,1026.4,1030,0,0,,9,Sc,1200,3.4
129,서산,2016-01-01 19:00,5.1,,2.9,180,78,6.8,1.5,1026,1029.6,,,,,,2000,3.2
129,서산,2016-01-01 20:00,4.8,,2.3,180,81,7,1.8,1025.8,1029.4,,,,,,2000,3
129,서산,2016-01-01 21:00,5.2,,2.3,180,81,7.1,2.1,1025.3,1028.9,,,,8,Sc,2000,3
129,서산,2016-01-01 22:00,4.9,,2.3,160,84,7.3,2.4,1024.5,1028.1,,,,,,2000,2.8
129,서산,2016-01-01 23:00,4.8,,2,160,87,7.5,2.8,1024.4,1028,,,,,,2000,2.6
129,서산,2016-01-02 00:00,5.1,,1.8,180,86,7.5,2.9,1024.1,1027.7,,,,7,Sc,1200,2.4
129,서산,2016-01-02 01:00,5.2,,2.6,180,86,7.6,3,1023.5,1027.1,,,,,,1800,2.3
129,서산,2016-01-02 02:00,6,,2.9,200,83,7.7,3.3,1023.3,1026.9,,,,,,2000,2.8
129,서산,2016-01-02 03:00,5.6,,2.8,180,87,7.9,3.6,1022.8,1026.4,,,,7,Sc,2000,2.9
129,서산,2016-01-02 04:00,5.2,,3.3,180,90,7.9,3.6,1022.1,1025.7,,,,6,Sc,1100,2.4
129,서산,2016-01-02 05:00,4.9,,3.4,180,91,7.8,3.5,1021.8,1025.4,,,,6,Sc,1000,2.7
129,서산,2016-01-02 06:00,4.7,,3.6,180,91,7.7,3.3,1021.4,1025,,,,6,Sc,1000,2.4
129,서산,2016-01-02 07:00,4.9,,3.5,160,91,7.8,3.5,1021.2,1024.8,,,,3,Sc,1000,2
129,서산,2016-01-02 08:00,4.4,,3.3,180,93,7.7,3.3,1021.2,1024.8,0,0,,3,Sc,800,2
129,서산,2016-01-02 09:00,4.8,,2.3,180,93,8,3.7,1021,1024.6,.2,.15,,4,ScAc,800,3.2
129,서산,2016-01-02 10:00,6.9,,2.6,180,87,8.6,4.8,1020.9,1024.5,.9,.5,,2,Sc,900,5.7
129,서산,2016-01-02 11:00,8.7,,4,180,85,9.5,6.3,1021.3,1024.9,.9,.88,,6,Sc,1100,9.8
129,서산,2016-01-02 12:00,9.1,,5.4,180,84,9.7,6.5,1020.1,1023.6,.8,1.07,,5,Sc,1100,11.3
129,서산,2016-01-02 13:00,9.9,,4.8,180,86,10.4,7.6,1019.4,1022.9,.6,1.04,,6,ScAc,1100,11.6
129,서산,2016-01-02 14:00,10.1,,4.6,180,87,10.7,8,1018.7,1022.2,.1,.69,,8,ScAc,1000,10.9
129,서산,2016-01-02 15:00,10.4,,4.4,180,86,10.8,8.1,1018.1,1021.6,.3,.59,,7,ScAc,1100,10.1
129,서산,2016-01-02 16:00,10.1,,3.6,180,88,10.8,8.1,1018.2,1021.7,.3,.37,,6,ScAc,1000,9.1
129,서산,2016-01-02 17:00,9.6,,3.2,180,89,10.6,7.8,1018,1021.5,0,.14,,6,ScAc,1000,7.8
129,서산,2016-01-02 18:00,7.7,,1.5,200,96,10,7,1017.8,1021.4,0,.01,,2,Sc,500,5.2
129,서산,2016-01-02 19:00,7.1,,1.1,180,97,9.7,6.6,1017.8,1021.4,,,,,,410,4.9
129,서산,2016-01-02 20:00,6.6,,1.7,180,97,9.4,6.1,1017.7,1021.3,,,,,,400,3.8
129,서산,2016-01-02 21:00,5.6,,.7,230,97,8.8,5.1,1017.8,1021.4,,,,2,Sc,300,2.5
129,서산,2016-01-02 22:00,4.4,,0,0,97,8.1,3.9,1017.7,1021.3,,,,,,200,2.9
129,서산,2016-01-02 23:00,4.5,,.1,0,97,8.1,4,1017.4,1021,,,,,,150,2.7
129,서산,2016-01-03 00:00,3.9,,.3,0,97,7.8,3.4,1017.4,1021,,,,6,Sc,150,2.5
129,서산,2016-01-03 01:00,3.9,,.1,0,97,7.8,3.4,1017.2,1020.8,,,,,,130,2.4
129,서산,2016-01-03 02:00,5.6,,.6,140,97,8.8,5.1,1016.9,1020.5,,,,10,,80,3.2
129,서산,2016-01-03 03:00,5.7,,0,0,97,8.8,5.2,1016.6,1020.2,,,,10,,30,4
129,서산,2016-01-03 04:00,5.5,,.5,20,97,8.7,5,1016.3,1019.9,,,,10,,8,4.4
129,서산,2016-01-03 05:00,4.4,,.2,0,97,8.1,3.9,1016.4,1020,,,,10,,8,4.1
129,서산,2016-01-03 06:00,3.9,,.3,0,97,7.8,3.4,1016.6,1020.2,,,,10,,8,3.9
129,서산,2016-01-03 07:00,2.7,,.4,0,97,7.2,2.2,1016.9,1020.5,,,,10,,10,3.4
129,서산,2016-01-03 08:00,3.3,,.1,0,97,7.5,2.8,1017.1,1020.7,0,0,,10,,10,3.7
129,서산,2016-01-03 09:00,3.9,,0,0,97,7.8,3.4,1017.3,1020.9,0,.07,,10,,10,4.9
129,서산,2016-01-03 10:00,5.1,,.5,320,97,8.5,4.6,1017.2,1020.8,0,.28,,10,,20,7.4
129,서산,2016-01-03 11:00,5.9,,1.1,200,97,9,5.4,1017.5,1021.1,0,.4,,10,,50,8.6
129,서산,2016-01-03 12:00,7.4,,1.5,180,97,9.9,6.9,1017,1020.6,.2,.67,,6,Sc,300,12.1
129,서산,2016-01-03 13:00,8.5,,1.9,230,97,10.7,8,1016.2,1019.7,.4,.74,,6,Sc,600,12.4
