지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),운형(운형약어),시정(10m),지면온도(°C)
257,양산시,2021-01-01 01:00,-1.2,,2.4,320,69,3.9,-6.1,1024.6,1025.4,,,,0,,1530,-2.9
257,양산시,2021-01-01 02:00,-2,,1.6,290,67,3.5,-7.3,1024.8,1025.6,,,,0,,1528,-3.4
257,양산시,2021-01-01 03:00,-3.2,,1.7,160,70,3.4,-7.9,1025,1025.8,,,,0,,1544,-3.8
257,양산시,2021-01-01 04:00,-3.8,,1.5,200,68,3.1,-8.8,1025.8,1026.6,,,,0,,1560,-4.1
257,양산시,2021-01-01 05:00,-4.1,,1.2,180,67,3,-9.3,1025.8,1026.6,,,,0,,1714,-4.4
257,양산시,2021-01-01 06:00,-4.7,,1.4,200,68,2.9,-9.7,1026.4,1027.2,,,,0,,1675,-4.6
257,양산시,2021-01-01 07:00,-4.9,,1.6,180,70,3,-9.5,1026.8,1027.6,,,,0,,1535,-4.7
257,양산시,2021-01-01 08:00,-5.6,,1.2,230,78,3.1,-8.8,1027.3,1028.1,0,.01,,0,,1435,-4.7
257,양산시,2021-01-01 09:00,-3.8,,1.8,200,70,3.2,-8.4,1027.7,1028.5,.3,.27,,0,,1480,-3.5
257,양산시,2021-01-01 10:00,-1.6,,.8,230,62,3.4,-7.9,1027.4,1028.2,1,1.07,,0,,1339,-.5
257,양산시,2021-01-01 11:00,.5,,1.4,270,52,3.3,-8.2,1026.8,1027.6,1,1.6,,0,,1261,-.3
257,양산시,2021-01-01 12:00,1.6,,4.2,200,49,3.4,-7.9,1025.7,1026.5,1,1.91,,0,,1281,2.5
257,양산시,2021-01-01 13:00,3.2,,3.6,230,46,3.5,-7.3,1024.5,1025.3,1,2.02,,3,,1253,5.7
257,양산시,2021-01-01 14:00,4,,3,290,44,3.6,-7.1,1023.7,1024.5,.9,1.72,,3,,1227,5.1
257,양산시,2021-01-01 15:00,4.2,,3.2,270,45,3.7,-6.7,1023.5,1024.3,.7,1.32,,7,,1096,2.8
257,양산시,2021-01-01 16:00,3.6,,2.4,250,47,3.7,-6.6,1023.4,1024.2,.6,.79,,8,,1047,.4
257,양산시,2021-01-01 17:00,3.3,,2.8,250,51,4,-5.8,1023.4,1024.2,0,.19,,6,,1143,0
257,양산시,2021-01-01 18:00,2.7,,1.1,200,55,4.1,-5.4,1023.4,1024.2,0,.02,,8,,1253,0
257,양산시,2021-01-01 19:00,.9,,.8,160,61,4,-5.7,1023.8,1024.6,,,,6,,1265,0
257,양산시,2021-01-01 20:00,-.4,,1.1,200,68,4.1,-5.5,1024.2,1025,,,,0,,1217,-.3
257,양산시,2021-01-01 21:00,1.3,,1.9,230,56,3.8,-6.5,1024.7,1025.5,,,,0,,1344,-.5
257,양산시,2021-01-01 22:00,-.2,,1.2,180,62,3.7,-6.6,1024.5,1025.3,,,,0,,1256,-1
257,양산시,2021-01-01 23:00,.1,,1.9,200,61,3.8,-6.5,1024.4,1025.2,,,,0,,1368,-1.5
257,양산시,2021-01-02 00:00,.5,,2.4,200,59,3.7,-6.6,1024.1,1024.9,,,,0,,1563,-1.9
257,양산시,2021-01-02 01:00,-2.4,,.9,250,76,3.9,-6,1023.9,1024.7,,,,0,,1469,-2.4
257,양산시,2021-01-02 02:00,-1.9,,1.1,200,76,4.1,-5.5,1024.1,1024.9,,,,0,,1464,-2.2
257,양산시,2021-01-02 03:00,-1.4,,1.2,230,75,4.2,-5.2,1024.4,1025.2,,,,9,,1498,-1.5
257,양산시,2021-01-02 04:00,-1.2,,1.3,230,74,4.2,-5.2,1024.3,1025.1,,,,8,,1539,-1.3
257,양산시,2021-01-02 05:00,-1.2,,1.3,250,78,4.4,-4.5,1024.5,1025.3,,,,8,,1484,-1.4
257,양산시,2021-01-02 06:00,-2.5,,1,140,84,4.3,-4.8,1024.9,1025.7,,,,6,,1428,-2.4
257,양산시,2021-01-02 07:00,-3.3,,.2,0,84,4,-5.6,1025.4,1026.2,,,,4,,1356,-2.7
257,양산시,2021-01-02 08:00,-2.6,,.5,290,83,4.2,-5,1025.9,1026.7,0,.02,,1,,1386,-2.3
257,양산시,2021-01-02 09:00,-.3,,.5,110,71,4.2,-4.9,1026.6,1027.4,.3,.28,,5,,1409,-1.5
257,양산시,2021-01-02 10:00,1.8,,1.2,230,59,4.1,-5.3,1026.9,1027.7,1,.96,,0,,1307,-.3
257,양산시,2021-01-02 11:00,2.6,,2.4,290,55,4.1,-5.5,1026.8,1027.6,.8,1.39,,7,,1285,-.1
257,양산시,2021-01-02 12:00,3.4,,2.5,290,48,3.8,-6.5,1025.8,1026.6,1,1.85,,1,,1254,2.8
257,양산시,2021-01-02 13:00,3.4,,2,290,47,3.7,-6.8,1025.4,1026.2,.8,1.62,,6,,1125,3.8
257,양산시,2021-01-02 14:00,4.2,,2.3,20,43,3.6,-7.2,1024.8,1025.6,.8,1.6,,4,,1215,4.6
257,양산시,2021-01-02 15:00,4.2,,3.6,290,39,3.2,-8.5,1024.8,1025.6,1,1.54,,0,,1198,1.9
257,양산시,2021-01-02 16:00,4.4,,2.4,290,35,2.9,-9.7,1025.1,1025.9,1,1,,0,,968,.2
257,양산시,2021-01-02 17:00,3.3,,3.5,320,34,2.6,-11.1,1025.9,1026.7,.7,.37,,0,,1072,0
257,양산시,2021-01-02 18:00,2.4,,3.2,320,32,2.3,-12.6,1027.3,1028.1,0,.01,,0,,1352,0
257,양산시,2021-01-02 19:00,-.2,,.6,270,38,2.3,-12.8,1028,1028.8,,,,0,,1298,-.3
257,양산시,2021-01-02 20:00,1.4,,3.8,340,26,1.8,-16,1028.6,1029.4,,,,0,,1392,-.7
257,양산시,2021-01-02 21:00,.5,,2.4,270,29,1.8,-15.5,1028.1,1028.9,,,,0,,1368,-1.3
