지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
192,2019-01-01 00:00,-5.7,,.3,0,49,2,-14.7,1029.8,1033.8,,,,,0,0,,,2000,,,-6.3,,,,
192,2019-01-01 01:00,-5.9,,.6,50,49,1.9,-14.9,1029.4,1033.4,,,,,0,0,,,2000,,,-7,,,,
192,2019-01-01 02:00,-6.5,,.5,50,50,1.9,-15.2,1029.6,1033.6,,,,,0,0,,,2000,,,-7.4,,,,
192,2019-01-01 03:00,-7.2,,.1,0,57,2,-14.2,1029.7,1033.7,,,,,0,0,,,2000,,,-7.7,,,,
192,2019-01-01 04:00,-7.4,,.2,0,58,2,-14.2,1029,1033,,,,,0,0,,,1979,,,-7.8,,,,
192,2019-01-01 05:00,-6.3,,.9,230,61,2.3,-12.6,1028.9,1032.9,,,,,2,2,,46,2000,,,-7.7,,,,
192,2019-01-01 06:00,-6.6,,.3,0,64,2.4,-12.2,1028.8,1032.8,,,,,0,0,,,1982,,,-7.8,,,,
192,2019-01-01 07:00,-6.9,,.1,0,69,2.5,-11.6,1028.9,1032.9,,,,,8,8,,51,1932,,,-7.2,,,,
192,2019-01-01 08:00,-6.7,,.1,0,71,2.6,-11,1028.9,1032.9,0,.01,,,7,5,,51,1872,,,-7.1,,,,
192,2019-01-01 09:00,-2.5,,.5,160,57,2.9,-9.8,1029.1,1033,.7,.4,,,7,0,,,1862,,,-2.6,,,,
192,2019-01-01 10:00,-.2,,.4,0,47,2.8,-10.1,1029.8,1033.7,.5,.84,,,8,8,,40,2000,,,.2,,,,
192,2019-01-01 11:00,2.3,,.7,360,39,2.8,-10.2,1028.8,1032.6,1,1.53,,,3,0,,,2000,,,5.2,,,,
192,2019-01-01 12:00,3.7,,.7,200,35,2.8,-10.3,1027.5,1031.3,1,1.79,,,7,0,,,1934,,,8.4,,,,
192,2019-01-01 13:00,4.4,,2.3,250,32,2.7,-10.8,1026.4,1030.2,1,1.99,,,3,0,,,2000,,,9.6,,,,
192,2019-01-01 14:00,5.1,,1.9,250,31,2.7,-10.6,1025.6,1029.4,1,1.74,,,2,0,,,2000,,,8.2,,,,
192,2019-01-01 15:00,5.5,,2.5,320,30,2.7,-10.7,1025.6,1029.4,1,1.34,,,6,3,,,2000,,,8.7,,,,
