"일자","중식계","석식계"
2021-01-27,988.646179199219,358.748504638672
2021-01-28,908.057006835938,375.321105957031
2021-01-29,638.784545898438,258.11376953125
2021-02-01,1253.62866210938,560.416015625
2021-02-02,981.875,460.134674072266
2021-02-03,1016.93450927734,445.265472412109
2021-02-04,960.0439453125,474.233673095703
2021-02-05,707.759216308594,371.034881591797
2021-02-08,1238.83081054688,617.78076171875
2021-02-09,1046.94177246094,502.621490478516
2021-02-10,677.198852539062,187.402160644531
2021-02-15,1342.47778320312,738.268676757812
2021-02-16,1093.80529785156,634.998596191406
2021-02-17,1073.44177246094,434.434265136719
2021-02-18,929.740783691406,519.150512695312
2021-02-19,700.968078613281,372.885620117188
2021-02-22,1252.65014648438,662.834838867188
2021-02-23,1028.49035644531,608.40478515625
2021-02-24,912.88330078125,387.749298095703
2021-02-25,850.629760742188,487.218048095703
2021-02-26,623.262451171875,273.600006103516
2021-03-02,1112.03405761719,682.415832519531
2021-03-03,961.246215820312,433.971710205078
2021-03-04,876.665649414062,580.211364746094
2021-03-05,627.439697265625,371.412109375
2021-03-08,1218.37451171875,596.990661621094
2021-03-09,1058.98193359375,586.788208007812
2021-03-10,927.194946289062,414.315643310547
2021-03-11,885.919921875,527.87353515625
2021-03-12,734.786926269531,319.396392822266
2021-03-15,1268.22668457031,711.641723632812
2021-03-16,1012.25402832031,559.593200683594
2021-03-17,1015.80474853516,446.016479492188
2021-03-18,915.706909179688,475.511383056641
2021-03-19,681.697021484375,303.720825195312
2021-03-22,1203.21020507812,649.1220703125
2021-03-23,1026.81628417969,619.223083496094
2021-03-24,932.199096679688,390.350463867188
2021-03-25,829.984802246094,443.272705078125
2021-03-26,570.031066894531,268.604644775391
2021-03-29,1204.11181640625,632.743957519531
2021-03-30,1040.8720703125,590.942443847656
2021-03-31,975.955749511719,401.668670654297
2021-04-01,822.011108398438,414.157836914062
2021-04-02,571.310913085938,273.160949707031
2021-04-05,1201.87744140625,617.544006347656
2021-04-06,1033.95361328125,539.521850585938
2021-04-07,969.538757324219,400.138092041016
2021-04-08,890.461547851562,456.454742431641
2021-04-09,595.806518554688,285.102447509766
