지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
192,2017-01-01 00:00,-2.4,,0,0,85,4.4,-4.5,1026.5,1030.4,,,,,,,,,720,,,-1.3,,,,
192,2017-01-01 01:00,-3,,.1,0,86,4.2,-5,1026.2,1030.1,,,,,,,,,700,,,-1.5,,,,
192,2017-01-01 02:00,-3.1,,0,0,87,4.2,-4.9,1026.6,1030.5,,,,,,,,,637,,,-1.7,,,,
192,2017-01-01 03:00,-3.5,,.1,0,88,4.2,-5.2,1026.8,1030.7,,,,,,,,,626,,,-1.8,,,,
192,2017-01-01 04:00,-3.6,,.3,0,88,4.1,-5.3,1026.2,1030.1,,,,,,,,,573,,,-1.9,,,,
192,2017-01-01 05:00,-4.1,,0,0,89,4,-5.6,1025.4,1029.3,,,,,,,,,578,,,-2.1,,,,
192,2017-01-01 06:00,-4.3,,0,0,89,4,-5.8,1025.9,1029.8,,,,,,,,,574,,,-2.2,,,,
192,2017-01-01 07:00,-4.4,,0,0,89,3.9,-5.9,1026.6,1030.5,,,,,,,,,560,,,-2.5,,,,
192,2017-01-01 08:00,-4,,.1,0,89,4.1,-5.5,1027.1,1031,0,0,,,,,,,547,,,-2.3,,,,
192,2017-01-01 09:00,-1.9,,0,0,89,4.8,-3.4,1027.6,1031.5,.7,.22,,,,,,,619,,,-.9,,,,
192,2017-01-01 10:00,1.4,,0,0,88,6,-.3,1027.9,1031.8,.6,.44,,,,,,,705,,,-.5,,,,
192,2017-01-01 11:00,4.8,,.6,200,69,5.9,-.4,1027.1,1030.9,.9,.97,,,,,,,1103,,,1.7,,,,
192,2017-01-01 12:00,8,,.5,200,47,5,-2.6,1025.9,1029.6,1,1.2,,,,,,,1744,,,4.5,,,,
192,2017-01-01 13:00,9.6,,1,250,41,4.9,-3,1024.7,1028.4,1,1.25,,,,,,,1429,,,10.1,,,,
192,2017-01-01 14:00,10.7,,.8,340,35,4.5,-4.1,1023.8,1027.5,1,1.19,,,,,,,1728,,,11.8,,,,
192,2017-01-01 15:00,10.8,,1.3,200,37,4.8,-3.3,1023.2,1026.9,1,.95,,,,,,,1680,,,11.1,,,,
192,2017-01-01 16:00,10.4,,1.3,160,37,4.7,-3.6,1023.1,1026.8,1,.62,,,,,,,1653,,,8.7,,,,
192,2017-01-01 17:00,8,,.5,180,48,5.2,-2.3,1022.7,1026.4,.7,.23,,,,,,,1402,,,5.2,,,,
192,2017-01-01 18:00,4.5,,.5,360,60,5,-2.6,1022.8,1026.6,0,0,,,,,,,1346,,,2.5,,,,
192,2017-01-01 19:00,2.6,,.1,0,71,5.2,-2.1,1022.6,1026.4,,,,,,,,,936,,,1.1,,,,
192,2017-01-01 20:00,1.3,,0,0,76,5.1,-2.4,1022.7,1026.5,,,,,,,,,773,,,0,,,,
192,2017-01-01 21:00,.2,,0,0,79,4.9,-3,1022.4,1026.3,,,,,,,,,679,,,-.2,,,,
192,2017-01-01 22:00,-.4,,.3,0,82,4.9,-3.1,1021.8,1025.7,,,,,,,,,595,,,-.3,,,,
192,2017-01-01 23:00,-.6,,0,0,85,5,-2.8,1021.9,1025.8,,,,,,,,,519,,,-.3,,,,
192,2017-01-02 00:00,-1,,0,0,86,4.9,-3,1021.4,1025.3,,,,,,,,,481,,,-.4,,,,
192,2017-01-02 01:00,-1.7,,.3,0,87,4.7,-3.5,1021.1,1025,,,,,,,,,381,,,-.7,,,,
192,2017-01-02 02:00,-.8,,0,0,88,5.1,-2.5,1020.4,1024.3,,,,,,,,,400,,,-.5,,,,
192,2017-01-02 03:00,-.3,,.3,0,88,5.3,-2,1020.2,1024,,,,,,,,,467,,,-.4,,,,
192,2017-01-02 04:00,.3,,.5,70,87,5.4,-1.6,1020.3,1024.1,,,,,,,,,530,,,-.3,,,,
192,2017-01-02 05:00,.7,,.3,0,86,5.6,-1.3,1020,1023.8,,,,,,,,,512,,,-.2,,,,
