지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
192,2020-01-01 00:00,-6.3,,.1,0,55,2.1,-13.8,1028.5,1032.5,,,,,0,0,,,2000,,,-3.3,,,,
192,2020-01-01 01:00,-7.2,,.3,0,57,2,-14.2,1028.4,1032.4,,,,,0,0,,,2000,,,-3.6,,,,
192,2020-01-01 02:00,-6.6,,.8,50,51,1.9,-15,1028.5,1032.5,,,,,0,0,,,2000,,,-4,,,,
192,2020-01-01 03:00,-6,,.3,0,41,1.6,-17.1,1028.6,1032.6,,,,,0,0,,,2000,,,-4,,,,
192,2020-01-01 04:00,-7,,0,0,47,1.7,-16.4,1028.5,1032.5,,,,,0,0,,,2000,,,-4.2,,,,
192,2020-01-01 05:00,-7.9,,.3,0,57,1.9,-14.9,1028.4,1032.4,,,,,10,6,,57,2000,,,-4.1,,,,
192,2020-01-01 06:00,-7.6,,0,0,63,2.2,-13.4,1027.9,1031.9,,,,,10,8,,58,2000,,,-3.5,,,,
192,2020-01-01 07:00,-5.9,,.6,50,48,1.9,-15.1,1028.2,1032.2,,,,,10,9,,55,2000,,,-3.5,,,,
192,2020-01-01 08:00,-6.5,,0,0,62,2.3,-12.5,1028.4,1032.4,0,.01,,,7,7,,54,2000,,,-3.5,,,,
192,2020-01-01 09:00,-4.3,,.3,0,55,2.4,-12,1028.9,1032.8,.8,.42,,,1,0,,,2000,,,-1.3,,,,
192,2020-01-01 10:00,-1.3,,.6,90,44,2.4,-12,1029.1,1033,1,1.02,,,0,0,,,1971,,,0,,,,
192,2020-01-01 11:00,1.9,,.8,200,36,2.5,-11.6,1028.8,1032.7,1,1.57,,,0,0,,,1972,,,3.2,,,,
