지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
192,2016-01-01 00:00,-3.5,,.3,0,77,3.6,-6.9,1029.6,1033.5,,,,,,,,,600,,,-1.9,,,,
192,2016-01-01 01:00,-4,,0,0,80,3.6,-6.9,1029.6,1033.5,,,,,,,,,600,,,-2.1,,,,
192,2016-01-01 02:00,-4.8,,.1,0,82,3.5,-7.4,1029.5,1033.5,,,,,,,,,500,,,-2.2,,,,
192,2016-01-01 03:00,-5,,.3,0,83,3.5,-7.4,1029.5,1033.5,,,,,,,,,460,,,-2.3,,,,
192,2016-01-01 04:00,-5.4,,.3,0,85,3.5,-7.5,1029.2,1033.2,,,,,,,,,410,,,-2.4,,,,
192,2016-01-01 05:00,-6,,.2,0,85,3.3,-8.1,1028.6,1032.6,,,,,,,,,360,,,-2.7,,,,
192,2016-01-01 06:00,-6.1,,.1,0,86,3.3,-8,1028.7,1032.7,,,,,,,,,370,,,-2.9,,,,
192,2016-01-01 07:00,-6.6,,0,0,86,3.2,-8.5,1029.6,1033.6,,,,,,,,,350,,,-3.2,,,,
192,2016-01-01 08:00,-6.4,,.5,50,86,3.3,-8.3,1029.7,1033.7,0,.01,,,,,,,330,,,-3.1,,,,
192,2016-01-01 09:00,-3.5,,.4,0,85,4,-5.6,1030,1033.9,.8,.38,,,,,,,410,,,-1.1,,,,
192,2016-01-01 10:00,.9,,.3,0,75,4.9,-3,1030.1,1034,1,.87,,,,,,,470,,,1.9,,,,
192,2016-01-01 11:00,3.2,,.8,160,56,4.3,-4.7,1029.8,1033.6,1,1.59,,,,,,,700,,,3.7,,,,
192,2016-01-01 12:00,4.8,,1,360,45,3.9,-6.1,1028.9,1032.7,1,1.73,,,,,,,1100,,,6.2,,,,
192,2016-01-01 13:00,6.4,,1.3,360,38,3.6,-6.9,1027.6,1031.4,1,1.8,,,,,,,1400,,,10.4,,,,
192,2016-01-01 14:00,7.8,,.8,70,35,3.7,-6.7,1026,1029.8,1,1.75,,,,,,,1300,,,12.2,,,,
192,2016-01-01 15:00,7.9,,1.4,230,35,3.7,-6.6,1025.4,1029.1,1,1.34,,,,,,,1200,,,9.5,,,,
192,2016-01-01 16:00,7.5,,1.7,140,42,4.3,-4.6,1025.2,1029,1,.81,,,,,,,1100,,,8,,,,
192,2016-01-01 17:00,6.5,,1.2,140,46,4.4,-4.3,1025.4,1029.2,.8,.34,,,,,,,1100,,,3.9,,,,
192,2016-01-01 18:00,4.4,,1,230,57,4.8,-3.3,1025.5,1029.3,0,.01,,,,,,,1000,,,1.3,,,,
192,2016-01-01 19:00,5.4,,1.5,230,56,5,-2.6,1025.7,1029.5,,,,,,,,,1100,,,.6,,,,
192,2016-01-01 20:00,1.3,,0,0,70,4.7,-3.5,1025.7,1029.5,,,,,,,,,700,,,-.5,,,,
192,2016-01-01 21:00,-1,,.7,360,78,4.4,-4.3,1025.6,1029.5,,,,,,,,,600,,,-.9,,,,
192,2016-01-01 22:00,-2,,.3,0,82,4.3,-4.6,1025.8,1029.7,,,,,,,,,470,,,-1.2,,,,
192,2016-01-01 23:00,-2.7,,.1,0,84,4.2,-5,1025.3,1029.2,,,,,,,,,400,,,-1.4,,,,
192,2016-01-02 00:00,-2.7,,.2,0,86,4.3,-4.7,1025.3,1029.2,,,,,,,,,450,,,-1.4,,,,
192,2016-01-02 01:00,-3,,.3,0,86,4.2,-5,1025,1028.9,,,,,,,,,390,,,-1.4,,,,
192,2016-01-02 02:00,-3.2,,.1,0,86,4.2,-5.2,1024.5,1028.4,,,,,,,,,360,,,-1.3,,,,
192,2016-01-02 03:00,-3.2,,.4,0,87,4.2,-5,1024.3,1028.2,,,,,,,,,360,,,-1.2,,,,
192,2016-01-02 04:00,-2.5,,.5,90,87,4.4,-4.3,1023.9,1027.8,,,,,,,,,370,,,-1.1,,,,
192,2016-01-02 05:00,-2,,.6,50,86,4.5,-4,1023.1,1027,,,,,,,,,420,,,-.9,,,,
192,2016-01-02 06:00,-2.8,,.1,0,86,4.3,-4.8,1022.9,1026.8,,,,,,,,,370,,,-1.7,,,,
192,2016-01-02 07:00,-3.3,,0,0,87,4.2,-5.1,1023.3,1027.2,,,,,,,,,340,,,-1.8,,,,
192,2016-01-02 08:00,-3.1,,.3,0,88,4.3,-4.8,1023.4,1027.3,0,0,,,,,,,360,,,-1.4,,,,
192,2016-01-02 09:00,-1.2,,.4,0,87,4.9,-3,1023.4,1027.3,.3,.28,,,,,,,320,,,-.4,,,,
192,2016-01-02 10:00,1.1,,.1,0,81,5.4,-1.8,1023.3,1027.1,.7,.49,,,,,,,380,,,1.5,,,,
192,2016-01-02 11:00,4.2,,.6,270,65,5.4,-1.8,1022.6,1026.4,.9,1.27,,,,,,,600,,,3.8,,,,
192,2016-01-02 12:00,5.6,,1.4,320,59,5.4,-1.7,1021.5,1025.3,1,1.41,,,,,,,800,,,9,,,,
192,2016-01-02 13:00,7.9,,1.1,340,53,5.6,-1.1,1019.9,1023.6,.6,1.22,,,,,,,1000,,,10,,,,
192,2016-01-02 14:00,8.4,,.3,0,54,6,-.3,1019.3,1023,0,.5,,,,,,,900,,,8.4,,,,
192,2016-01-02 15:00,9.8,,.6,20,51,6.2,.1,1018.4,1022.1,.2,.65,,,,,,,800,,,10.9,,,,
192,2016-01-02 16:00,10.6,,1.3,90,50,6.3,.5,1018,1021.7,.9,.94,,,,,,,800,,,10.9,,,,
