"일자","중식계","석식계"
2021-01-27,1001.89373333333,313.3858
2021-01-28,944.227333333333,430.037966666667
2021-01-29,652.687733333333,275.146283333333
2021-02-01,1197.93503333333,498.9391
2021-02-02,1015.59626666667,444.195966666667
2021-02-03,980.669133333334,420.6195
2021-02-04,954.87460952381,441.332423809524
2021-02-05,676.199166666667,345.035204761905
2021-02-08,1222.53596666667,572.345045454545
2021-02-09,1019.4463,462.436633333333
2021-02-10,766.238233333333,229.873333333333
2021-02-15,1231.36283333333,624.544577777778
2021-02-16,1049.24324761905,562.357058730159
2021-02-17,1010.4313,385.884833333333
2021-02-18,909.77775,465.110133333333
2021-02-19,646.2991,343.324438095238
2021-02-22,1208.97606666667,597.891111111111
2021-02-23,987.754333333333,548.097877777778
2021-02-24,854.309633333334,353.7408
2021-02-25,877.075926190476,473.464966666667
2021-02-26,604.2944,251.78775
2021-03-02,1089.70806666667,594.761407359307
2021-03-03,965.495977777778,422.02468357488
2021-03-04,931.940609523809,481.056247619048
2021-03-05,659.509483333333,367.287766666667
2021-03-08,1228.28943333333,598.987833333333
2021-03-09,1032.24561428571,571.707080952381
2021-03-10,946.957177777778,392.485939130435
2021-03-11,939.56100952381,470.179833333333
2021-03-12,660.261133333333,289.397304761905
2021-03-15,1225.40113333333,637.005966666667
2021-03-16,999.494866666667,524.23498989899
2021-03-17,1008.14753333333,400.156933333333
2021-03-18,897.561266666667,451.6386
2021-03-19,652.225366666666,276.684471428571
2021-03-22,1188.52593333333,608.64335974026
2021-03-23,991.856933333334,548.898344444444
2021-03-24,903.083100000001,354.404666666667
2021-03-25,842.04935952381,426.370333333333
2021-03-26,601.040733333333,282.78595
2021-03-29,1178.67933333333,594.880678787879
2021-03-30,982.1425,509.863866666667
2021-03-31,939.778266666667,297.417233333333
2021-04-01,855.313392857143,418.257257142857
2021-04-02,630.566933333333,290.546066666667
2021-04-05,1188.69391538462,590.578466666666
2021-04-06,1009.65116666667,504.484866666667
2021-04-07,960.839133333333,406.6884
2021-04-08,909.843533333333,446.7744
2021-04-09,628.049166666666,284.409538095238
